household_id,region,income_level,has_solar,solar_capacity,avg_daily_kwh,total_cost_usd,peak_consumption_hour,potential_solar_savings_usd,recommendation_priority
HH_001,Semi-urban,High,0,0,13.028889999999999,78.17334,19,23.452001999999997,Low
HH_002,Rural,Low,0,0,5.213016666666666,31.278100000000002,19,9.38343,Low
HH_003,Rural,Low,1,50,4.792036666666666,28.75222,19,8.625666,Low
HH_004,Rural,Low,0,0,5.276396666666667,31.65838,19,9.497514,Low
HH_005,Urban,High,0,0,13.124883333333335,78.7493,19,23.62479,Low
HH_006,Urban,Medium,0,0,8.634269999999999,51.805620000000005,19,15.541686,Low
HH_007,Urban,Medium,1,400,5.960593333333333,35.76356,19,10.729068,Low
HH_008,Rural,Medium,0,0,5.225806666666667,31.354840000000003,19,9.406452,Low
HH_009,Rural,Low,0,0,5.219790000000001,31.318740000000005,19,9.395622000000001,Low
HH_010,Rural,Medium,0,0,5.18059,31.08354,19,9.325061999999999,Low
HH_011,Urban,Medium,0,0,8.753243333333334,52.51946000000001,19,15.755838000000002,Low
HH_012,Rural,Low,1,100,4.294256666666667,25.76554,19,7.729662,Low
HH_013,Rural,Low,0,0,5.222766666666667,31.3366,19,9.40098,Low
HH_014,Semi-urban,Medium,0,0,8.603476666666666,51.62085999999999,19,15.486257999999998,Low
HH_015,Urban,Low,1,400,5.892399999999999,35.3544,19,10.606319999999998,Low
HH_016,Urban,High,1,400,9.45395,56.72370000000001,19,17.017110000000002,Low
HH_017,Semi-urban,Low,0,0,8.684206666666666,52.10524000000001,19,15.631572000000002,Low
HH_018,Rural,Low,1,400,3.5251200000000003,21.150720000000003,19,6.345216000000001,Low
HH_019,Semi-urban,Low,0,0,8.69362,52.161719999999995,19,15.648515999999997,Low
HH_020,Semi-urban,Medium,0,0,8.725573333333333,52.353440000000006,19,15.706032,Low
HH_021,Rural,Low,1,100,4.235266666666667,25.411600000000004,19,7.623480000000001,Low
HH_022,Urban,Low,1,200,6.831263333333334,40.98758000000001,19,12.296274000000002,Low
HH_023,Semi-urban,Medium,1,400,5.8668933333333335,35.20136,19,10.560408,Low
HH_024,Semi-urban,Low,1,50,8.195083333333335,49.170500000000004,19,14.75115,Low
HH_025,Semi-urban,Medium,0,0,8.669293333333334,52.01576,19,15.604728,Low
HH_026,Rural,Low,0,0,5.215193333333333,31.291159999999998,19,9.387348,Low
HH_027,Urban,Medium,1,200,6.710593333333334,40.263560000000005,19,12.079068000000001,Low
HH_028,Rural,Low,0,0,5.22177,31.33062,19,9.399186,Low
HH_029,Rural,Medium,1,50,4.740453333333333,28.442719999999998,19,8.532815999999999,Low
HH_030,Urban,Low,1,400,5.882356666666667,35.294140000000006,19,10.588242000000001,Low
HH_031,Rural,Low,1,200,3.617366666666667,21.7042,19,6.51126,Low
HH_032,Urban,Low,0,0,8.735683333333334,52.41410000000001,19,15.724230000000002,Low
HH_033,Urban,High,0,0,13.092376666666667,78.55426,19,23.566278,Low
HH_034,Rural,Medium,0,0,5.2212499999999995,31.3275,19,9.398249999999999,Low
HH_035,Rural,Low,0,0,5.222056666666666,31.332340000000002,19,9.399702,Low
HH_036,Rural,Low,0,0,5.26998,31.619880000000002,19,9.485964000000001,Low
HH_037,Semi-urban,Medium,0,0,8.680783333333332,52.0847,19,15.625409999999999,Low
HH_038,Urban,Medium,0,0,8.804336666666666,52.82602,19,15.847805999999999,Low
HH_039,Rural,Low,0,0,5.2145600000000005,31.287360000000003,19,9.386208,Low
HH_040,Semi-urban,Low,0,0,8.728466666666666,52.3708,19,15.71124,Low
HH_041,Urban,Low,0,0,8.74355,52.46130000000001,19,15.738390000000003,Low
HH_042,Semi-urban,Medium,0,0,8.717713333333332,52.306279999999994,19,15.691883999999998,Low
HH_043,Urban,High,1,100,12.153413333333333,72.92048,19,21.876144,Low
HH_044,Rural,Low,0,0,5.281906666666667,31.69144,19,9.507432,Low
HH_045,Semi-urban,Low,0,0,8.797123333333332,52.78273999999999,19,15.834821999999996,Low
HH_046,Rural,Low,0,0,5.247536666666667,31.485220000000005,19,9.445566000000001,Low
HH_047,Semi-urban,Medium,1,200,6.808973333333333,40.853840000000005,19,12.256152000000002,Low
HH_048,Rural,Medium,0,0,5.222803333333333,31.336820000000003,19,9.401046000000001,Low
HH_049,Rural,Medium,0,0,5.255179999999999,31.53108,19,9.459323999999999,Low
HH_050,Urban,High,0,0,13.022833333333333,78.137,19,23.4411,Low
HH_051,Rural,Low,0,0,5.206706666666666,31.24024,19,9.372072,Low
HH_052,Rural,Low,0,0,5.239726666666667,31.438360000000003,19,9.431508000000001,Low
HH_053,Rural,Low,0,0,5.237573333333334,31.425440000000005,19,9.427632000000001,Low
HH_054,Rural,Medium,0,0,5.258696666666666,31.55218,19,9.465653999999999,Low
HH_055,Rural,Low,1,100,4.196256666666667,25.17754,19,7.553262,Low
HH_056,Rural,Low,1,100,4.224156666666667,25.344939999999998,19,7.603481999999999,Low
HH_057,Urban,Low,0,0,8.730196666666666,52.38118,19,15.714354,Low
HH_058,Urban,Medium,0,0,8.697766666666666,52.1866,19,15.65598,Low
HH_059,Urban,Low,1,50,8.2347,49.4082,19,14.82246,Low
HH_060,Semi-urban,Low,0,0,8.7163,52.29780000000001,19,15.689340000000001,Low
HH_061,Semi-urban,Medium,0,0,8.729189999999997,52.37513999999999,19,15.712541999999996,Low
HH_062,Semi-urban,Medium,0,0,1.5359833333333333,9.2159,19,2.76477,Low
